establecimiento_nombre,localidad_nombre,provincia_nombre,departamento_nombre
TREN DE DESARROLLO SOCIAL Y SANITARIO,MONSERRAT,CABA,COMUNA 1
MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS,MONSERRAT,CABA,COMUNA 1
INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL (INAES),MONSERRAT,CABA,COMUNA 1
PROGRAMA ORGANIZACION COMUNITARIA EN SALUD,MONSERRAT,CABA,COMUNA 1
INTA CENTRAL - MEDICINA LABORAL,MONSERRAT,CABA,COMUNA 1
DIRECCION NACIONAL DE VIALIDAD,MONSERRAT,CABA,COMUNA 1
AGENCIA DE ADMINISTRACION DE BIENES DEL ESTADO,MONSERRAT,CABA,COMUNA 1
MINISTERIO DE JUSTICIA Y DDHH DE LA NACION - SEDE INSP GRAL DE JUSTICIA,MONSERRAT,CABA,COMUNA 1
CONSULTORIO DEL MINISTERIO DE SALUD DE LA NACION - PISO  5,MONSERRAT,CABA,COMUNA 1
COMISION NACIONAL DE COMUNICACIONES,MONSERRAT,CABA,COMUNA 1
MINISTERIO DE DEFENSA DE NACION,MONSERRAT,CABA,COMUNA 1
MINISTERIO DE SEGURIDAD DE NACION,MONSERRAT,CABA,COMUNA 1
SENASA,MONSERRAT,CABA,COMUNA 1
PROGRAMA NACIONAL DE ABORDAJE TERRITORIAL,MONSERRAT,CABA,COMUNA 1
CASA DE GOBIERNO - CONSULTORIO,MONSERRAT,CABA,COMUNA 1
CENTRO DE DIALISIS FRESENIUS MEDICAL CARE - FUNDACION FAVALORO,MONSERRAT,CABA,COMUNA 1
CTRO MEDICO DE TRAUMATOLOGIA Y ORTOPEDIA MAPFRE,MONSERRAT,CABA,COMUNA 1
CENTRO DE ASISTENCIA PSICOPATOLOGICA S.A.,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO DE SALUD MENTAL MAYO,MONSERRAT,CABA,COMUNA 1
AOF - ATENCION ODONTOLOGICA FEDERAL,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO MONSERRAT,MONSERRAT,CABA,COMUNA 1
PRIORITY HOME CARE - ATENCION DOMICILIARIA,MONSERRAT,CABA,COMUNA 1
EFIMED - INTERNACION DOMICILIARIA,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO DE YBK,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO SANTA CECILIA S.R.L.,MONSERRAT,CABA,COMUNA 1
CENTRO DE VIDA (FUNDACION FAVALORO),MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO (AVENIDA DE MAYO 975),MONSERRAT,CABA,COMUNA 1
NEW MED - INTERNACION DOMICILIARIA,MONSERRAT,CABA,COMUNA 1
MIM CONGRESO (CENTRO MEDICO O.S.E.C.A.C.),MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO DE REHABILITACION DE CIEGOS Y DISMINUIDOS VISUALES,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO DR. FLORENTINO DALL ORSO,MONSERRAT,CABA,COMUNA 1
CENTRO ALTA COMPLEJIDAD ODONTOLOGICA,MONSERRAT,CABA,COMUNA 1
SIGMA IMAGENES MEDICAS,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO DR. ALBERTO ARNOLDO TRAUMATOLOGIA DEL DEPORTE,MONSERRAT,CABA,COMUNA 1
INSTITUTO DE CARDIOLOGIA Y CIRUGIA CARDIOVASCULAR - FUNDACION FAVALORO (EDIFICIO CENTRAL),MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO NOMED,MONSERRAT,CABA,COMUNA 1
ESCUELA SUPERIOR DE GENDARMERIA  GRAL.BR. D.M.M. CALDERON,MONSERRAT,CABA,COMUNA 1
ANEXO CENTRO CONSULTORIOS CIRCULO MUTUAL DE SUBOFICIALES DE POLICIA FEDERAL ARGENTINA,MONSERRAT,CABA,COMUNA 1
CENTRO MEDICO MADEROMED,PUERTO MADERO,CABA,COMUNA 1
SERVICIO MEDICO EDIFICIO GUARDACOSTAS PREFECTURA NAVAL,PUERTO MADERO,CABA,COMUNA 1
SUB SECRETARIA DEL SERVICIO LOGISTICO DE LA DEFENSA. MINISTERIO DE DEFENSA,RETIRO,CABA,COMUNA 1
DIRECCION DE SALUD DEL MINISTERIO DE RELACIONES EXTERIORES Y CULTO,RETIRO,CABA,COMUNA 1
CENTRO MEDICO DE ATENCION PRIMARIA - EDIFICIO CENTINELA - GENDARMERIA NACIONAL,RETIRO,CABA,COMUNA 1
DIRECCION NACIONAL DE MIGRACIONES    MINISTERIO DEL INTERIOR Y TRANSPORTE,RETIRO,CABA,COMUNA 1
CESAC Nº 21,RETIRO,CABA,COMUNA 1
CESAC Nº 25,RETIRO,CABA,COMUNA 1
CESAC 47,RETIRO,CABA,COMUNA 1
FUNDACION BELEN DE ESCOBAR,RETIRO,CABA,COMUNA 1
CENTRO MEDICO EN REPRODUCCION ASISTIDA IN VITRO BSAS,RETIRO,CABA,COMUNA 1
CRYOBANK,RETIRO,CABA,COMUNA 1
CENTRO MEDICO CORDOBA 1273 PB,RETIRO,CABA,COMUNA 1
CENTRO MEDICO ALVI ARMANI,RETIRO,CABA,COMUNA 1
CENTRO MEDICO CORDOBA 629 PISO 2,RETIRO,CABA,COMUNA 1
CENTRO MEDICO CORDOBA 629 PISO 12,RETIRO,CABA,COMUNA 1
CENTRO ODONTOLOGICO TALCAHUANO,RETIRO,CABA,COMUNA 1
CENTRO MEDICO PIELNOVA CLINIC,RETIRO,CABA,COMUNA 1
CENTRO MEDICO HAIR RECOVERY ARGENTINA,RETIRO,CABA,COMUNA 1
LABORATORIO DR. GERARDO CARLOS SARTORIO,RETIRO,CABA,COMUNA 1
SIACO - SISTEMA INTEGRADO DE ALTA COMPLEJIDAD ODONTOLOGICA (SEDE CENTRAL),RETIRO,CABA,COMUNA 1
CENTRO DE ALERGIA E INMUNOLOGIA,RETIRO,CABA,COMUNA 1
LABORATORIOS DRA. FURCI,RETIRO,CABA,COMUNA 1
CENTRO DE MEDICINA FISICA Y REHABILITACION,RETIRO,CABA,COMUNA 1
CENTRO MEDICO HOMINIS,RETIRO,CABA,COMUNA 1
CENTRO IMPLANTODONTOLOGICO ARGENTINO DR. FILIPPONI,RETIRO,CABA,COMUNA 1
CENTRO ODONTOLOGICO CERRITO,RETIRO,CABA,COMUNA 1
C.E.O. CENTRO DE ESPECIALIDADES ODONTOLOGICAS,RETIRO,CABA,COMUNA 1
INSTITUTO DE ESTUDIOS OFTALMOLOGICOS DR. FERNANDO CARIDE,RETIRO,CABA,COMUNA 1
IDIM - INSTITUTO DE INVESTIGACIONES METABOLICAS DR. ZANCHETTA - SEDE CENTRO,RETIRO,CABA,COMUNA 1
CLINICA OFTALMOLOGICA MALBRAN,RETIRO,CABA,COMUNA 1
INSTITUTO MEDICO DE GARGANTA NARIZ Y OIDOS,RETIRO,CABA,COMUNA 1
CEMIC - CENTRO MEDICO DR NORBERTO QUIRNO,RETIRO,CABA,COMUNA 1
CENTRO  DE REHABILITACIONES MEDICAS CIMEB,RETIRO,CABA,COMUNA 1
SERVICIO MEDICO PREFECTURA NAVAL DE LA  ZONA RIO DE LA PLATA,RETIRO,CABA,COMUNA 1
DIRECCION DE SANIDAD,RETIRO,CABA,COMUNA 1
VACUNATORIO CENTRO ASISTENCIAL RETIRO,RETIRO,CABA,COMUNA 1
CENTRO ASISTENCIAL BUENOS AIRES (GENDARMERIA NACIONAL),RETIRO,CABA,COMUNA 1
INSTITUTO NACIONAL DE LA PROPIEDAD INDUSTRIAL,SAN TELMO,CABA,COMUNA 1
"MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA",SAN TELMO,CABA,COMUNA 1
DR RICARDO OJEDA DR MARTIN PANNO DRA SAURO ANALIA,SAN TELMO,CABA,COMUNA 1
CESAC Nº 15,SAN TELMO,CABA,COMUNA 1
CENTRO MEDICO HELIOS SALUD,SAN TELMO,CABA,COMUNA 1
HELIOS SALUD S.A. DR. STAMBOULIAM - SEDE CENTRAL,SAN TELMO,CABA,COMUNA 1
POLICLINICO O.S.T.E.E. - OBRA SOCIAL DE LOS TRABAJADORES DE EMPLEADOS DE ELECTRICIDAD,SAN TELMO,CABA,COMUNA 1
SERVICIO DE TRASLADOS SANITARIOS DE LA DIRECCION NACIONAL DE EMERGENCIAS SANITARIAS,RECOLETA,CABA,COMUNA 2
DEPARTAMENTO DE SALUD HIGIENE Y SEGURIDAD OCUPACIONAL - MINISTERIO DE EDUCACION DE LA NACION,RECOLETA,CABA,COMUNA 2
HOSPITAL GENERAL DE AGUDOS BERNARDINO RIVADAVIA,RECOLETA,CABA,COMUNA 2
HOSPITAL GENERAL DE NIÑOS DR. RICARDO GUTIERREZ,RECOLETA,CABA,COMUNA 2
HOSPITAL ODONTOLOGICO DR. RAMON CARRILLO - EX NACIONAL,RECOLETA,CABA,COMUNA 2
HOSPITAL DE ODONTOLOGIA,RECOLETA,CABA,COMUNA 2
FUNDACION DE LA HEMOFILIA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO C.I.T.A.M.E.,RECOLETA,CABA,COMUNA 2
CENTRO LARREA DE SALUD MENTAL,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DR. STAMBOULIAN - BARRIO NORTE,RECOLETA,CABA,COMUNA 2
HOGAR CENTRO EDUCATIVO TERAPEUTICO (NIÑOS Y ADOLESCENTES),RECOLETA,CABA,COMUNA 2
CENTRO MEDICO CARDIOSALUD,RECOLETA,CABA,COMUNA 2
IFN INSTITUTO FERRERO DE NEUROLOGIA Y SUEÑO,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALSIS CLINICOS LARREA 1106 4ºD,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS CNEL DIAZ 1967 PB 1,RECOLETA,CABA,COMUNA 2
IEF - INSTITUTO DE CIRUGIA ESTETICA Y FLEBOLOGIA,RECOLETA,CABA,COMUNA 2
CONSULTORIOS MEDICOS RODRIGUEZ PEÑA 2087 1ºC,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO BERUTI 2321,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO PARAGUAY 1896 3º,RECOLETA,CABA,COMUNA 2
INSTITUTO WILLIAM OSLER,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO PET Y CAR ARENALES 1611 3º,RECOLETA,CABA,COMUNA 2
CONSULTORIO MEDICO (INAER - INVES. EN ALERGIA Y ENFERMEDADES RESPIRATORIAS)),RECOLETA,CABA,COMUNA 2
SEREMAS - CENTRO MEDICO CON QUIROFANO Y LAB DE ESTUDIOS ESPECIALES DE LA MED REPRODUCTIVA,RECOLETA,CABA,COMUNA 2
CONSULTORIO MEDICO SERFATY EDITH MIRTA MN 34923,RECOLETA,CABA,COMUNA 2
STAT RESEARCH  SA,RECOLETA,CABA,COMUNA 2
"CENIT (CENTRO DE NEUROCIENCIAS, INVESTIGACION Y TRATAMIENTO",RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO ODONTOLOGICA ESTETICA S.A.,RECOLETA,CABA,COMUNA 2
CENTRO ARTROSCOPICO JORGE BATISTA,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO DENTAL DAS SRL,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO O.M.S.A.,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO DR. NORDLINGER,RECOLETA,CABA,COMUNA 2
CENTRO DE OJOS CIREX,RECOLETA,CABA,COMUNA 2
CLINICA ODONTOLOGICA DE IMPLANTES - SWISS MEDICAL,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS DRA. ESCALADA ANA MARIA,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO AINCO,RECOLETA,CABA,COMUNA 2
CENTRO DE SALUD MENTAL (ATENCION AMBULATORIA Y HOSPITAL DE DIA),RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS DRA. ANTONINI ELVIRA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO OTERO,RECOLETA,CABA,COMUNA 2
CLINICA DEL SUDOR DR. TOMAS ANGELILLO MACKINLAY,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO CONSULMED,RECOLETA,CABA,COMUNA 2
CENTRO DE SALUD MENTAL,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO (AV. SANTA FE 1592),RECOLETA,CABA,COMUNA 2
CENTRO MEDICO EMERGENCIAS,RECOLETA,CABA,COMUNA 2
ORGANIZACION MEDICA S.A. - CENTRO DE GINECOLOGIA Y OBSTETRICIA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DRA. RODRIGUEZ,RECOLETA,CABA,COMUNA 2
AMERICAN DENTAL,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO OMINT,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS JUAN FLICHMAN,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DE OSTEOPATIAS DR. CARLOS MAUTALEN,RECOLETA,CABA,COMUNA 2
INSTITUTO UROLOGICO BUENOS AIRES (IUBA),RECOLETA,CABA,COMUNA 2
SWISS MEDICAL CENTER PUEYRREDON,RECOLETA,CABA,COMUNA 2
LABORATORIO BIOQUIMICA MEDICA S.R.L.,RECOLETA,CABA,COMUNA 2
CENTRO DE ESPECIALIDADES OFTALMOLOGICAS,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DE DIAGNOSTICO,RECOLETA,CABA,COMUNA 2
C.E.B - CENTRO DE ESTETICA BUCAL Y FACIAL,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DE CARDIOLOGIA CARDIOCENTER,RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO DR. CARLOS HECTOR LERNER,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO BARRIO NORTE - HOSPITAL ITALIANO,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO JUNIN (SWISS  MEDICAL CENTER BARRIO NORTE),RECOLETA,CABA,COMUNA 2
CENTRO MEDICO OFTALMOLOGICO DE ALTA COMPLEJIDAD,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ESTUDIOS EN REPRODUCCION - L.E.R.,RECOLETA,CABA,COMUNA 2
FUNDACION DE ENDOCRINOLOGIA INFANTIL,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO PUEYRREDON,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO  GRUPO MEDICO OTORRINOLARINGOLOGICO,RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO DR. DANIEL CHARLES,RECOLETA,CABA,COMUNA 2
GRUPO MEDICO ARANA GADOW S.A.,RECOLETA,CABA,COMUNA 2
INSTITUTO DE SALUD MENTAL NUESTRA SEÑORA DE LUJAN - CENTRO AMBULATORIO,RECOLETA,CABA,COMUNA 2
NEUMODOM - INTERNACION DOMICILIARIA,RECOLETA,CABA,COMUNA 2
CONSULTORES OFTALMOLOGICOS,RECOLETA,CABA,COMUNA 2
P.A.U.S.A. - PSICOANALISIS APLICADO A LAS URGENCIAS SUBJETIVAS DE LA ACTUALIDAD,RECOLETA,CABA,COMUNA 2
HALITUS INSTITUTO MEDICO,RECOLETA,CABA,COMUNA 2
LABORATORIO DRA GALANTERNIK,RECOLETA,CABA,COMUNA 2
LABORATORIO DOMECQ Y LAFAGE (RECOLETA),RECOLETA,CABA,COMUNA 2
CENTRO DE ATENCION AMBULATORIA BARRIO NORTE (HOSPITAL BRITANICO),RECOLETA,CABA,COMUNA 2
LABORATORIO FRENCH  S.A.,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO FERTILAB,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO GEDYT GASTROENTEROLOGIA DIAGNOSTICA Y TERAPEUTICA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICUS DE DIAGNOSTICO,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO C.I.M.A.,RECOLETA,CABA,COMUNA 2
INSTITUTO RADIOLOGICO DENTAL DR. HUGO DAGUM,RECOLETA,CABA,COMUNA 2
INSTITUTO ARGENTINO DE INVESTIGACIONES NEUROLOGICAS,RECOLETA,CABA,COMUNA 2
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE LOS SENTIDOS,RECOLETA,CABA,COMUNA 2
LABORATORIO DRES. PASTORI,RECOLETA,CABA,COMUNA 2
CENTRO DE VIDA - PREVENCION Y ASISTENCIA DE ADICCIONES,RECOLETA,CABA,COMUNA 2
CENTRO PRIVADO DE CIRUGIA Y COLOPROCTOLOGIA S.R.L.,RECOLETA,CABA,COMUNA 2
CONSULTORIO MEDICO (AV. SANTA FE 1611),RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO DR. BRUNZINI,RECOLETA,CABA,COMUNA 2
INSTITUTO DE NEUROLOGIA COGNITIVA (INECO),RECOLETA,CABA,COMUNA 2
CENTRO MEDICO PROESA,RECOLETA,CABA,COMUNA 2
SISTEMAS DIAGNOSTICOS,RECOLETA,CABA,COMUNA 2
CENTRO DE OJOS BUENOS AIRES (SEDE BARRIO NORTE),RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO UNIVERSITARIO,RECOLETA,CABA,COMUNA 2
CIER - CENTRO DE INVESTIGACION EN ENFERMEDADES REUMATICAS,RECOLETA,CABA,COMUNA 2
CENTRO DE SALUD MENTAL -INSTITUTO DE MACROPSICOLOGIA,RECOLETA,CABA,COMUNA 2
CENTRO PRIVADO DE SALUD MENTAL,RECOLETA,CABA,COMUNA 2
CENTRO ARGENTINO DE FERTILIDAD Y GINECOLOGIA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO GINIS,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DE OSTEOPATIAS MEDICAS,RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO CODYT,RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO DE DIAGNOSTICO Y TRATAMIENTO CODYT,RECOLETA,CABA,COMUNA 2
CENTRO DE SALUD MENTAL SESAM,RECOLETA,CABA,COMUNA 2
CEOS - CENTRO DE ESPECIALIDADES OFTALMOLOGICAS,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO VILARIÑO,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS Y MEDICINA NUCLEAR DR M. SCHERE,RECOLETA,CABA,COMUNA 2
LABORATORIO H-D ARGENTINA S.A.,RECOLETA,CABA,COMUNA 2
LABORATORIO BIOCIENCIA S.A.,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS  DRA. SASSON RAQUEL,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO - DIABETOLOGIA Y NUTRICION,RECOLETA,CABA,COMUNA 2
CEMP - CENTRO DE ESTUDIOS EN MEDICINA PREVENTIVA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO OFTALMOLOGICO CREMONA GUSTAVO,RECOLETA,CABA,COMUNA 2
CENTRO ZIMMAN DE CIRUGIA PLASTICA,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS DR. LUIS ALBERTO RAFFO,RECOLETA,CABA,COMUNA 2
LABORATORIO BIOANALITICA  DR. SERGIO DAMILANO,RECOLETA,CABA,COMUNA 2
CENTRO DE MEDICINA HIPERBARICA BUENOS AIRES,RECOLETA,CABA,COMUNA 2
GENESIS MANLAB - DIAGNOSTICO BIOQUIMICO,RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS DRA. BLANCO,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO BAEM,RECOLETA,CABA,COMUNA 2
CENTRO DE OTORRINOLARINGOLOGIA DR. OBEJERO PAZ,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO CEREME,RECOLETA,CABA,COMUNA 2
ASOCIACION ARGENTINA DE PROTECCION FAMILIAR,RECOLETA,CABA,COMUNA 2
CENTROMEDICO  INTEGRAL BUENOS AIRES (CEMIBA) - MEDICINA LABORAL,RECOLETA,CABA,COMUNA 2
CLINICA DE VARICES COMPUTARIZADA DR. EDUARDO TKACH - VARICES GROUP,RECOLETA,CABA,COMUNA 2
LABORATORIO LAPLACETTE PICCALUGA S.R.L.,RECOLETA,CABA,COMUNA 2
LABORATORIO DRA. MARTA CORTELEZZI,RECOLETA,CABA,COMUNA 2
CENTRO OFTALMOLOGICO (AVENIDA CALLAO 1178),RECOLETA,CABA,COMUNA 2
LABORATORIO DE ANALISIS CLINICOS Y BIOLOGIA MOLECULAR FUNDUS,RECOLETA,CABA,COMUNA 2
IPAC LABORATORIO PRIVADO DE ANALISIS CLINICOS,RECOLETA,CABA,COMUNA 2
CENTRO ODONTOLOGICO  SIPRO,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO ACCORD,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO OFTALMOLOGICO DR. CIANNI,RECOLETA,CABA,COMUNA 2
INSTITUTO OFTALMOLOGICO STEFANI Y ASOCIADOS,RECOLETA,CABA,COMUNA 2
LABORATORIO BIOALPHA,RECOLETA,CABA,COMUNA 2
DIAGNOSTICO MEDICO POR IMAGENES DR. ROJAS,RECOLETA,CABA,COMUNA 2
INSTITUTO DE REHABILITACION DE COLUMNA NECK BACK,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO DE LA MUJER,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO MERY ZEM,RECOLETA,CABA,COMUNA 2
CLINICA AYACUCHO - URGENCIAS ODONTOLOGICAS,RECOLETA,CABA,COMUNA 2
INSTITUTO MEDICO DE ASISTENCIA E INVESTIGACIONES S.A.,RECOLETA,CABA,COMUNA 2
INSTITUTO ONCOLOGICO HENRY MOORE,RECOLETA,CABA,COMUNA 2
INSTITUTO DE DIALISIS FRESENIUS MANSILLA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO AUSTRAL OMI,RECOLETA,CABA,COMUNA 2
CENTRO ASISTENCIAL DE SALUD - ASOCIACION SOCORROS MUTUOS FUERZAS ARMADAS,RECOLETA,CABA,COMUNA 2
MEDICAL SYSTEM - INTERNACION DOMICILIARIA,RECOLETA,CABA,COMUNA 2
CENTRO CARDIOLOGICO CARDIOSALUD S.A.,RECOLETA,CABA,COMUNA 2
DIAGNOSTICO MEDICO (SEDE CENTRAL),RECOLETA,CABA,COMUNA 2
CLINICA LAS HERAS,RECOLETA,CABA,COMUNA 2
SOCIEDAD ARGENTINA DE ORTODONCIA,RECOLETA,CABA,COMUNA 2
CENTRO DE INTERNACION E INVESTIGACION CLINICA FUNDALEU,RECOLETA,CABA,COMUNA 2
INSTITUTO SACRE COEUR,RECOLETA,CABA,COMUNA 2
CLINICA DE NEUROPSIQUIATRIA Y PSICOLOGIA MEDICA S.A. (M),RECOLETA,CABA,COMUNA 2
CLINICA DE CIRUGIA ESPECIALIZADA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO URIBURU - CIRUGIA AMBULATORIA,RECOLETA,CABA,COMUNA 2
CENTRO MEDICO OFTALMOLOGICO,RECOLETA,CABA,COMUNA 2
INSTITUTO DE OJOS DR. HUGO DANIEL NANO,RECOLETA,CABA,COMUNA 2
CENTRO DE KINESIOLOGIA Y REHABILITACION FISIOSPORT,RECOLETA,CABA,COMUNA 2
ATENEO ARGENTINO DE ODONTOLOGIA,RECOLETA,CABA,COMUNA 2
IFER - INSTITUTO DE GINECOLOGIA Y FERTILIDAD,RECOLETA,CABA,COMUNA 2
INSTITUTO DE PSICOPATOLOGIA NUESTRA SEÑORA DE LUJAN S.R.L.,RECOLETA,CABA,COMUNA 2
FERTIASIST MEDICINA REPRODUCTIVA,RECOLETA,CABA,COMUNA 2
SANATORIO AGOTE,RECOLETA,CABA,COMUNA 2
SANATORIO ANCHORENA,RECOLETA,CABA,COMUNA 2
CLINICA MODELO DE PSIQUIATRIA S.A. (M),RECOLETA,CABA,COMUNA 2
CEMIC - HOSPITAL UNIVERSITARIO SEDE LAS HERAS.,RECOLETA,CABA,COMUNA 2
HOSPITAL ALEMAN,RECOLETA,CABA,COMUNA 2
HOSPITAL ODONTOLOGICO DR. RAMON CARRILLO,RECOLETA,CABA,COMUNA 2
ASOCIACION ODONTOLOGICA ARGENTINA,RECOLETA,CABA,COMUNA 2
FUNDACION DR. MARIO SOCOLINSKY,RECOLETA,CABA,COMUNA 2
CENTRO CHOUELA - DERMATOLOGIA Y ESTETICA,RECOLETA,CABA,COMUNA 2
INSTITUTO ARGENTINO DE DIAGNOSTICO Y TRATAMIENTO S.A.,RECOLETA,CABA,COMUNA 2
CLINICA DEL SOL,RECOLETA,CABA,COMUNA 2
